2024-03-12 02:57:26 status half-configured libkeyutils1:amd64 1.6.3-2
2024-03-12 02:57:26 status installed libkeyutils1:amd64 1.6.3-2
2024-03-12 02:57:26 configure libpsl5:amd64 0.21.2-1 <none>
2024-03-12 02:57:26 status unpacked libpsl5:amd64 0.21.2-1
2024-03-12 02:57:26 status half-configured libpsl5:amd64 0.21.2-1
2024-03-12 02:57:26 status installed libpsl5:amd64 0.21.2-1
2024-03-12 02:57:26 configure libmagic-mgc:amd64 1:5.44-3 <none>
2024-03-12 02:57:26 status unpacked libmagic-mgc:amd64 1:5.44-3
2024-03-12 02:57:26 status half-configured libmagic-mgc:amd64 1:5.44-3
2024-03-12 02:57:26 status installed libmagic-mgc:amd64 1:5.44-3
2024-03-12 02:57:26 configure libtirpc-common:all 1.3.3+ds-1 <none>
2024-03-12 02:57:26 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-03-12 02:57:26 status half-configured libtirpc-common:all 1.3.3+ds-1
2024-03-12 02:57:26 status installed libtirpc-common:all 1.3.3+ds-1
2024-03-12 02:57:26 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2024-03-12 02:57:26 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-03-12 02:57:26 status half-configured libbrotli1:amd64 1.0.9-2+b6
2024-03-12 02:57:26 status installed libbrotli1:amd64 1.0.9-2+b6
2024-03-12 02:57:26 configure binutils-common:amd64 2.40-2 <none>
2024-03-12 02:57:26 status unpacked binutils-common:amd64 2.40-2
2024-03-12 02:57:26 status half-configured binutils-common:amd64 2.40-2
2024-03-12 02:57:26 status installed binutils-common:amd64 2.40-2
2024-03-12 02:57:26 configure libssl3:amd64 3.0.11-1~deb12u2 <none>
2024-03-12 02:57:26 status unpacked libssl3:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:26 status half-configured libssl3:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:26 status installed libssl3:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:26 configure libnghttp2-14:amd64 1.52.0-1+deb12u1 <none>
2024-03-12 02:57:26 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-03-12 02:57:26 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-03-12 02:57:26 status installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-03-12 02:57:26 configure libmagic1:amd64 1:5.44-3 <none>
2024-03-12 02:57:26 status unpacked libmagic1:amd64 1:5.44-3
2024-03-12 02:57:26 status half-configured libmagic1:amd64 1:5.44-3
2024-03-12 02:57:26 status installed libmagic1:amd64 1:5.44-3
2024-03-12 02:57:26 configure linux-libc-dev:amd64 6.1.76-1 <none>
2024-03-12 02:57:26 status unpacked linux-libc-dev:amd64 6.1.76-1
2024-03-12 02:57:26 status half-configured linux-libc-dev:amd64 6.1.76-1
2024-03-12 02:57:26 status installed linux-libc-dev:amd64 6.1.76-1
2024-03-12 02:57:26 configure libctf-nobfd0:amd64 2.40-2 <none>
2024-03-12 02:57:26 status unpacked libctf-nobfd0:amd64 2.40-2
2024-03-12 02:57:26 status half-configured libctf-nobfd0:amd64 2.40-2
2024-03-12 02:57:26 status installed libctf-nobfd0:amd64 2.40-2
2024-03-12 02:57:26 configure m4:amd64 1.4.19-3 <none>
2024-03-12 02:57:26 status unpacked m4:amd64 1.4.19-3
2024-03-12 02:57:26 status half-configured m4:amd64 1.4.19-3
2024-03-12 02:57:26 status installed m4:amd64 1.4.19-3
2024-03-12 02:57:26 configure file:amd64 1:5.44-3 <none>
2024-03-12 02:57:26 status unpacked file:amd64 1:5.44-3
2024-03-12 02:57:26 status half-configured file:amd64 1:5.44-3
2024-03-12 02:57:26 status installed file:amd64 1:5.44-3
2024-03-12 02:57:26 configure libgomp1:amd64 12.2.0-14 <none>
2024-03-12 02:57:26 status unpacked libgomp1:amd64 12.2.0-14
2024-03-12 02:57:26 status half-configured libgomp1:amd64 12.2.0-14
2024-03-12 02:57:26 status installed libgomp1:amd64 12.2.0-14
2024-03-12 02:57:26 configure bzip2:amd64 1.0.8-5+b1 <none>
2024-03-12 02:57:26 status unpacked bzip2:amd64 1.0.8-5+b1
2024-03-12 02:57:26 status half-configured bzip2:amd64 1.0.8-5+b1
2024-03-12 02:57:26 status installed bzip2:amd64 1.0.8-5+b1
2024-03-12 02:57:26 configure libjansson4:amd64 2.14-2 <none>
2024-03-12 02:57:26 status unpacked libjansson4:amd64 2.14-2
2024-03-12 02:57:26 status half-configured libjansson4:amd64 2.14-2
2024-03-12 02:57:26 status installed libjansson4:amd64 2.14-2
2024-03-12 02:57:26 configure libkrb5support0:amd64 1.20.1-2+deb12u1 <none>
2024-03-12 02:57:26 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:26 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:26 status installed libkrb5support0:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:26 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-03-12 02:57:26 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-03-12 02:57:26 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-03-12 02:57:26 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-03-12 02:57:26 configure perl-modules-5.36:all 5.36.0-7+deb12u1 <none>
2024-03-12 02:57:26 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-03-12 02:57:26 status half-configured perl-modules-5.36:all 5.36.0-7+deb12u1
2024-03-12 02:57:26 status installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-03-12 02:57:26 configure libpkgconf3:amd64 1.8.1-1 <none>
2024-03-12 02:57:26 status unpacked libpkgconf3:amd64 1.8.1-1
2024-03-12 02:57:26 status half-configured libpkgconf3:amd64 1.8.1-1
2024-03-12 02:57:26 status installed libpkgconf3:amd64 1.8.1-1
2024-03-12 02:57:26 configure rpcsvc-proto:amd64 1.4.3-1 <none>
2024-03-12 02:57:26 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-03-12 02:57:26 status half-configured rpcsvc-proto:amd64 1.4.3-1
2024-03-12 02:57:26 status installed rpcsvc-proto:amd64 1.4.3-1
2024-03-12 02:57:26 configure make:amd64 4.3-4.1 <none>
2024-03-12 02:57:26 status unpacked make:amd64 4.3-4.1
2024-03-12 02:57:26 status half-configured make:amd64 4.3-4.1
2024-03-12 02:57:26 status installed make:amd64 4.3-4.1
2024-03-12 02:57:26 configure libmpfr6:amd64 4.2.0-1 <none>
2024-03-12 02:57:26 status unpacked libmpfr6:amd64 4.2.0-1
2024-03-12 02:57:26 status half-configured libmpfr6:amd64 4.2.0-1
2024-03-12 02:57:26 status installed libmpfr6:amd64 4.2.0-1
2024-03-12 02:57:26 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-03-12 02:57:26 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-12 02:57:26 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-12 02:57:26 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-12 02:57:26 configure xz-utils:amd64 5.4.1-0.2 <none>
2024-03-12 02:57:26 status unpacked xz-utils:amd64 5.4.1-0.2
2024-03-12 02:57:26 status half-configured xz-utils:amd64 5.4.1-0.2
2024-03-12 02:57:26 status installed xz-utils:amd64 5.4.1-0.2
2024-03-12 02:57:26 configure libquadmath0:amd64 12.2.0-14 <none>
2024-03-12 02:57:26 status unpacked libquadmath0:amd64 12.2.0-14
2024-03-12 02:57:26 status half-configured libquadmath0:amd64 12.2.0-14
2024-03-12 02:57:26 status installed libquadmath0:amd64 12.2.0-14
2024-03-12 02:57:26 configure libmpc3:amd64 1.3.1-1 <none>
2024-03-12 02:57:26 status unpacked libmpc3:amd64 1.3.1-1
2024-03-12 02:57:26 status half-configured libmpc3:amd64 1.3.1-1
2024-03-12 02:57:26 status installed libmpc3:amd64 1.3.1-1
2024-03-12 02:57:26 configure libatomic1:amd64 12.2.0-14 <none>
2024-03-12 02:57:26 status unpacked libatomic1:amd64 12.2.0-14
2024-03-12 02:57:26 status half-configured libatomic1:amd64 12.2.0-14
2024-03-12 02:57:26 status installed libatomic1:amd64 12.2.0-14
2024-03-12 02:57:26 configure patch:amd64 2.7.6-7 <none>
2024-03-12 02:57:26 status unpacked patch:amd64 2.7.6-7
2024-03-12 02:57:26 status half-configured patch:amd64 2.7.6-7
2024-03-12 02:57:26 status installed patch:amd64 2.7.6-7
2024-03-12 02:57:26 configure pkgconf-bin:amd64 1.8.1-1 <none>
2024-03-12 02:57:26 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-03-12 02:57:26 status half-configured pkgconf-bin:amd64 1.8.1-1
2024-03-12 02:57:26 status installed pkgconf-bin:amd64 1.8.1-1
2024-03-12 02:57:26 configure libk5crypto3:amd64 1.20.1-2+deb12u1 <none>
